City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Olga,RU,2022-09-10 14:16:08,43.7444,135.2892,54.16,80,2,3.87
150,Iskateley,RU,2022-09-10 14:16:09,67.6803,53.1512,48.79,80,97,1.97
151,Aksarka,RU,2022-09-10 14:16:10,66.5606,67.7975,42.1,78,100,5.35
152,Lavrentiya,RU,2022-09-10 14:16:10,65.5833,-171.0,40.41,92,100,2.71
153,Faanui,PF,2022-09-10 14:16:10,-16.4833,-151.75,78.42,72,21,21.21
154,Mount Gambier,AU,2022-09-10 14:16:11,-37.8333,140.7667,49.1,72,100,7.63
155,Batticaloa,LK,2022-09-10 14:16:12,7.7102,81.6924,82.81,73,100,2.57
156,Ouesso,CG,2022-09-10 14:16:13,1.6136,16.0517,83.52,64,54,4.38
157,Ravar,IR,2022-09-10 14:16:14,31.2656,56.8055,92.16,10,0,9.13
158,Sechura,PE,2022-09-10 14:16:14,-5.5569,-80.8222,65.44,74,100,11.03
159,Chiredzi,ZW,2022-09-10 14:16:15,-21.05,31.6667,90.59,10,0,9.01
160,Tsalenjikha,GE,2022-09-10 14:16:15,42.6044,42.0682,76.98,45,23,3.94
161,Manokwari,ID,2022-09-10 14:16:16,-0.8667,134.0833,79.02,77,100,1.66
162,Yabelo,ET,2022-09-10 14:16:17,4.8833,38.0833,72.73,37,100,8.1
163,Belfort,FR,2022-09-10 14:16:18,47.6333,6.8667,66.67,76,67,10.54
164,Paracuru,BR,2022-09-10 14:16:18,-3.41,-39.0306,87.28,49,0,14.09
165,Namatanai,PG,2022-09-10 14:16:19,-3.6667,152.4333,79.39,80,45,8.84
166,Bassar,TG,2022-09-10 14:16:19,9.25,0.7833,78.71,79,87,7.65
167,Verkhoyansk,RU,2022-09-10 14:16:20,67.5447,133.385,41.09,58,98,9.91
168,Vila Franca Do Campo,PT,2022-09-10 14:16:21,37.7167,-25.4333,79.2,72,100,17.07
169,Palanga,LT,2022-09-10 14:16:21,55.9175,21.0686,60.82,63,100,5.75
170,Bom Jesus,BR,2022-09-10 14:16:22,-9.0744,-44.3586,95.9,20,0,7.02
171,Husavik,IS,2022-09-10 14:16:23,66.0449,-17.3389,55.49,80,44,7.67
172,Xam Nua,LA,2022-09-10 14:16:23,20.4197,104.0439,67.32,98,100,1.88
173,Mahebourg,MU,2022-09-10 14:16:24,-20.4081,57.7,73.69,60,75,12.66
174,Mwinilunga,ZM,2022-09-10 14:16:24,-11.7358,24.4293,88.86,14,88,6.46
175,Te Anau,NZ,2022-09-10 14:17:25,-45.4167,167.7167,35.4,90,29,0.69
176,Ornes,NO,2022-09-10 14:17:25,66.8689,13.7078,54.28,71,89,6.89
177,Luderitz,NA,2022-09-10 14:17:26,-26.6481,15.1594,73.58,44,16,27.2
178,Puerto Ayora,EC,2022-09-10 14:17:26,-0.7393,-90.3518,67.96,95,93,1.99
179,Bumba,CD,2022-09-10 14:17:27,2.1833,22.4667,86.7,50,61,3.96
180,Severo-Kurilsk,RU,2022-09-10 14:17:27,50.6789,156.125,52.11,90,17,15.59
181,Manzini,SZ,2022-09-10 14:17:28,-26.25,31.5,91.74,13,0,11.21
182,Carnarvon,AU,2022-09-10 14:17:28,-24.8667,113.6333,66.92,66,0,19.17
183,Nanortalik,GL,2022-09-10 14:17:29,60.1432,-45.2371,46.06,74,0,11.01
184,Pauini,BR,2022-09-10 14:17:29,-7.7136,-66.9764,90.99,47,11,3.74
185,Taoudenni,ML,2022-09-10 14:17:29,22.6783,-3.9836,111.85,8,71,11.9
186,Tilichiki,RU,2022-09-10 14:17:30,60.4667,166.1,47.35,96,100,6.04
187,Ishikari,JP,2022-09-10 14:17:30,43.2397,141.3539,57.81,81,0,8.12
188,Quelimane,MZ,2022-09-10 14:17:31,-17.8786,36.8883,79.75,58,0,11.18
189,Manggar,ID,2022-09-10 14:17:31,-2.8833,108.2667,80.15,77,95,5.48
190,Nome,US,2022-09-10 14:16:19,64.5011,-165.4064,44.67,82,100,10.36
191,Popova,RU,2022-09-10 14:17:32,42.9603,131.7228,66.51,79,98,3.76
192,Airai,TL,2022-09-10 14:17:32,-8.9266,125.4092,59.85,89,83,1.92
193,Salym,RU,2022-09-10 14:17:33,60.0625,71.4789,42.01,90,96,4.32
194,Yumen,CN,2022-09-10 14:17:33,40.2833,97.2,77.29,9,0,11.27
195,Linguere,SN,2022-09-10 14:17:33,15.3953,-15.1193,92.08,50,97,9.71
196,Brzeziny,PL,2022-09-10 14:17:34,51.8002,19.7514,61.18,85,100,5.5
197,Meulaboh,ID,2022-09-10 14:17:34,4.1363,96.1285,78.46,80,56,1.81
198,Marondera,ZW,2022-09-10 14:17:35,-18.1853,31.5519,79.99,8,0,8.7
199,Agbor,NG,2022-09-10 14:17:35,6.2518,6.1934,82.92,72,80,7.25
200,San Cristobal,VE,2022-09-10 14:17:35,7.7669,-72.225,75.38,53,24,6.91
201,Broome,US,2022-09-10 14:17:36,42.2506,-75.833,71.67,69,0,3.44
202,Sur,OM,2022-09-10 14:17:36,22.5667,59.5289,89.51,52,93,9.19
203,Esna,EG,2022-09-10 14:17:37,25.2934,32.554,104.72,14,0,15.66
204,Blagoyevo,RU,2022-09-10 14:17:37,63.3667,47.9167,48.69,87,100,5.61
205,Mabaruma,GY,2022-09-10 14:17:38,8.2,-59.7833,88.09,58,11,5.03
206,Flinders,AU,2022-09-10 14:17:38,-34.5833,150.8552,58.17,88,45,3.0
207,Tuatapere,NZ,2022-09-10 14:17:38,-46.1333,167.6833,38.59,94,9,4.36
208,Cravo Norte,CO,2022-09-10 14:17:39,6.3017,-70.2041,83.01,71,43,4.47
209,Esperance,AU,2022-09-10 14:17:39,-33.8667,121.9,53.49,85,23,7.45
210,Yar-Sale,RU,2022-09-10 14:17:40,66.8333,70.8333,41.92,65,99,6.6
211,Waingapu,ID,2022-09-10 14:17:40,-9.6567,120.2641,78.75,75,14,4.25
212,Gualaquiza,EC,2022-09-10 14:17:41,-3.4,-78.55,62.74,97,100,0.76
213,Bonavista,CA,2022-09-10 14:17:41,48.6499,-53.1147,58.39,76,100,21.83
214,Yulara,AU,2022-09-10 14:17:42,-25.2406,130.9889,56.68,73,100,21.45
215,Lagoa,PT,2022-09-10 14:17:42,39.05,-27.9833,72.27,77,100,25.59
216,Kumertau,RU,2022-09-10 14:17:43,52.7667,55.7833,51.21,53,100,17.05
217,Kota Kinabalu,MY,2022-09-10 14:17:43,5.9749,116.0724,78.78,94,20,5.99
218,Gat,IL,2022-09-10 14:17:44,31.61,34.7642,92.39,31,0,13.18
219,Provideniya,RU,2022-09-10 14:17:44,64.3833,-173.3,42.01,84,10,4.79
220,Saldanha,ZA,2022-09-10 14:17:44,-33.0117,17.9442,58.44,78,100,6.67
221,Auki,SB,2022-09-10 14:17:45,-8.7676,160.7034,75.69,87,11,3.98
222,Borogontsy,RU,2022-09-10 14:18:45,62.6683,131.1683,34.83,85,18,7.02
223,Aguimes,ES,2022-09-10 14:18:46,27.9054,-15.4461,79.43,57,20,27.63
224,Touros,BR,2022-09-10 14:18:46,-5.1989,-35.4608,84.24,55,3,16.98
225,Hambantota,LK,2022-09-10 14:18:46,6.1241,81.1185,79.88,79,92,18.99
226,Guilin,CN,2022-09-10 14:18:47,25.2819,110.2864,80.71,60,100,0.58
227,Pasighat,IN,2022-09-10 14:18:47,28.0667,95.3333,76.3,76,1,3.91
228,Khorlovo,RU,2022-09-10 14:18:48,55.3353,38.8131,60.42,37,0,2.89
229,Aklavik,CA,2022-09-10 14:18:48,68.2191,-135.0107,44.76,98,100,5.3
230,Okhotsk,RU,2022-09-10 14:18:49,59.3833,143.3,50.99,57,99,19.89
231,Daru,PG,2022-09-10 14:18:49,-9.0763,143.2092,78.19,88,44,13.62
232,Shenkursk,RU,2022-09-10 14:18:49,62.1091,42.896,50.67,65,100,4.63
233,Sorong,ID,2022-09-10 14:18:50,-0.8833,131.25,75.76,93,100,8.84
234,Vostok,RU,2022-09-10 14:18:52,46.4856,135.8833,52.59,80,0,3.89
235,Krasnoselkup,RU,2022-09-10 14:18:52,65.7,82.4667,41.67,53,100,2.39
236,Illapel,CL,2022-09-10 14:18:52,-31.6308,-71.1653,62.67,42,0,4.23
237,Vicuna,CL,2022-09-10 14:18:54,-30.0319,-70.7081,46.13,37,0,4.76
238,Buala,SB,2022-09-10 14:18:54,-8.145,159.5921,79.66,80,43,8.61
239,Walvis Bay,NA,2022-09-10 14:18:55,-22.9575,14.5053,68.49,54,38,12.77
240,Arman,RU,2022-09-10 14:18:55,59.7,150.1667,48.16,85,0,4.05
241,Linxia,CN,2022-09-10 14:18:56,35.6003,103.2064,61.81,45,0,4.03
242,Chirongui,YT,2022-09-10 14:18:56,-12.9319,45.1483,78.73,70,12,6.22
243,Boddam,GB,2022-09-10 14:18:56,57.4667,-1.7833,64.44,77,15,7.36
244,San Quintin,MX,2022-09-10 14:18:57,30.4833,-115.95,76.08,74,100,13.58
245,Mayo,US,2022-09-10 14:18:58,38.8876,-76.5119,76.23,79,20,6.91
246,Vila Velha,BR,2022-09-10 14:17:53,-20.3297,-40.2925,84.15,48,0,17.27
247,Alcudia,ES,2022-09-10 14:18:58,39.8532,3.1214,91.69,56,11,9.17
248,Palmer,US,2022-09-10 14:18:59,42.1584,-72.3287,78.67,80,20,0.0
249,Souillac,MU,2022-09-10 14:18:59,-20.5167,57.5167,73.78,60,75,12.66
250,Vardo,NO,2022-09-10 14:19:00,70.3705,31.1107,49.98,71,100,17.27
251,Nicolas Bravo,MX,2022-09-10 14:19:00,18.45,-88.9167,78.42,86,85,1.34
252,Christchurch,NZ,2022-09-10 14:17:39,-43.5333,172.6333,52.92,90,75,13.8
253,Kholm,RU,2022-09-10 14:19:01,59.2667,32.85,58.78,45,13,4.85
254,Dayal Bagh,IN,2022-09-10 14:19:02,27.2167,78.0167,92.21,45,100,5.75
255,Obihiro,JP,2022-09-10 14:19:02,42.9172,143.2044,54.91,92,0,0.69
256,Tarakan,ID,2022-09-10 14:19:02,3.3,117.6333,80.1,83,20,2.3
257,Port Augusta,AU,2022-09-10 14:19:03,-32.5,137.7667,50.58,74,76,7.81
258,Quime,BO,2022-09-10 14:19:04,-16.9833,-67.2167,50.77,81,96,6.24
259,Ihosy,MG,2022-09-10 14:19:04,-22.4,46.1167,76.86,31,0,11.3
260,Samoded,RU,2022-09-10 14:19:05,63.6083,40.5111,48.97,80,100,5.14
261,Zabid,YE,2022-09-10 14:19:05,14.1951,43.3152,95.13,46,100,12.53
262,Tual,ID,2022-09-10 14:19:06,-5.6667,132.75,81.73,82,100,11.21
263,Gualeguay,AR,2022-09-10 14:19:06,-33.1416,-59.3097,57.54,31,0,5.17
264,Korla,CN,2022-09-10 14:19:07,41.7597,86.1469,85.28,14,0,3.15
265,Asau,RO,2022-09-10 14:19:07,46.4333,26.4,76.28,65,29,6.29
266,Hamilton,US,2022-09-10 14:16:09,39.1834,-84.5333,75.06,81,0,9.22
267,Batagay-Alyta,RU,2022-09-10 14:19:08,67.8006,130.4114,36.14,57,100,5.08
268,Coihaique,CL,2022-09-10 14:15:49,-45.5752,-72.0662,50.61,66,40,3.44
269,Pevek,RU,2022-09-10 14:20:09,69.7008,170.3133,42.84,79,21,6.82
270,Vestmannaeyjar,IS,2022-09-10 14:20:09,63.4427,-20.2734,53.15,95,100,6.38
271,Cap Malheureux,MU,2022-09-10 14:20:10,-19.9842,57.6142,72.46,59,4,7.0
272,Krasnyy Chikoy,RU,2022-09-10 14:20:12,50.3643,108.7512,49.41,80,77,3.47
273,Mahajanga,MG,2022-09-10 14:20:13,-15.7167,46.3167,82.42,51,20,11.5
274,Kalispell,US,2022-09-10 14:17:10,48.1958,-114.3129,45.66,81,0,4.61
275,Shache,CN,2022-09-10 14:20:14,38.4167,77.2406,83.19,10,0,6.53
276,Monrovia,LR,2022-09-10 14:16:13,6.3005,-10.7969,78.15,82,64,11.14
277,Aleksandrov Gay,RU,2022-09-10 14:20:15,50.147,48.5704,60.64,28,19,14.94
278,Svetlogorsk,BY,2022-09-10 14:20:15,52.6333,29.7333,51.78,59,100,15.43
279,Tingi,TZ,2022-09-10 14:20:16,-11.3,35.0333,75.51,40,68,4.99
