,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,New Norfolk,AU,-42.7826,147.0587,49.91,79,90,3.0,moderate rain
158,Kavaratti,IN,10.5669,72.642,80.4,79,100,11.59,overcast clouds
159,Ust-Uda,RU,54.1742,103.0304,37.92,84,50,3.31,scattered clouds
160,Kargasok,RU,59.0556,80.8572,49.08,77,100,5.59,overcast clouds
161,Abu Samrah,SY,35.3029,37.1841,77.04,40,0,7.07,clear sky
162,Uarini,BR,-2.99,-65.1083,81.12,77,97,2.48,overcast clouds
163,Katsuura,JP,35.1333,140.3,80.62,87,87,15.64,overcast clouds
164,Samarai,PG,-10.6167,150.6667,82.87,77,85,12.44,overcast clouds
165,Lorengau,PG,-2.0226,147.2712,82.96,71,99,5.41,overcast clouds
166,Nome,US,64.5011,-165.4064,46.17,94,100,36.22,light rain
167,Parabel,RU,58.6978,81.4825,45.86,80,99,5.61,overcast clouds
168,Kalianget,ID,-7.05,113.9333,79.74,74,74,6.62,broken clouds
169,Horqueta,PY,-23.3428,-57.0597,76.82,42,0,9.93,clear sky
170,Grand Gaube,MU,-20.0064,57.6608,71.38,71,1,5.99,light rain
171,Mahon,ES,39.8885,4.2658,68.56,52,0,8.05,clear sky
172,Inhambane,MZ,-23.865,35.3833,70.86,90,2,12.66,clear sky
173,Lasa,IT,46.6166,10.7002,43.7,91,42,6.53,scattered clouds
174,Kahului,US,20.8947,-156.47,85.96,52,28,9.06,scattered clouds
175,Sola,VU,-13.8833,167.55,80.91,75,9,19.71,clear sky
176,San Cristobal,VE,7.7669,-72.225,73.51,80,100,3.76,overcast clouds
177,Chuy,UY,-33.6971,-53.4616,58.59,76,80,13.56,broken clouds
178,Nouakchott,MR,18.0858,-15.9785,80.53,70,52,17.83,broken clouds
179,Grindavik,IS,63.8424,-22.4338,46.87,93,75,8.05,broken clouds
180,Karratha,AU,-20.7377,116.8463,69.66,45,0,7.56,clear sky
181,Cherskiy,RU,68.75,161.3,33.46,66,100,13.15,overcast clouds
182,Pisco,PE,-13.7,-76.2167,63.01,78,7,9.22,clear sky
183,Pokaran,IN,26.9167,71.9167,81.07,64,13,13.58,few clouds
184,Chokurdakh,RU,70.6333,147.9167,34.02,69,40,6.15,scattered clouds
185,Zelenoborsk,RU,61.4669,64.0333,50.43,62,100,9.75,overcast clouds
186,Abu Dhabi,AE,24.4667,54.3667,89.96,62,0,1.99,clear sky
187,Price,US,39.5994,-110.8107,76.12,63,75,6.91,broken clouds
188,Alice Springs,AU,-23.7,133.8833,57.22,26,0,0.0,clear sky
189,Hirara,JP,24.8,125.2833,79.07,89,75,14.97,broken clouds
190,Petrovskaya,RU,45.4314,37.955,69.8,62,39,6.6,scattered clouds
191,Obsharovka,RU,53.125,48.8531,54.79,76,100,3.56,overcast clouds
192,Tuktoyaktuk,CA,69.4541,-133.0374,47.5,71,95,10.63,overcast clouds
193,Arraial Do Cabo,BR,-22.9661,-42.0278,66.43,73,13,11.27,few clouds
194,Poum,NC,-20.2333,164.0167,75.49,68,0,12.1,clear sky
195,Ugoofaaru,MV,5.6667,73.0,81.0,76,21,8.5,few clouds
196,Tabou,CI,4.423,-7.3528,75.96,87,90,6.33,overcast clouds
197,Bilma,NE,18.6853,12.9164,89.4,36,71,0.78,broken clouds
198,Trairi,BR,-3.2778,-39.2689,77.95,80,29,12.21,scattered clouds
199,Zheleznodorozhnyy,RU,55.7503,38.0042,50.43,75,80,7.67,broken clouds
200,Gondanglegi,ID,-7.7479,112.0132,73.69,87,100,10.33,overcast clouds
201,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,90,0,4.61,clear sky
202,Angoche,MZ,-16.2325,39.9086,72.37,81,0,9.17,clear sky
203,San Patricio,US,28.017,-97.5169,91.49,54,31,13.69,scattered clouds
204,Hamilton,US,39.1834,-84.5333,84.65,54,1,1.99,clear sky
205,Victoria,HK,22.2855,114.1577,87.19,83,88,5.99,overcast clouds
206,Bandarbeyla,SO,9.4942,50.8122,77.9,78,95,20.47,overcast clouds
207,Mims,US,28.6653,-80.8448,79.09,92,100,0.0,mist
208,Lagoa,PT,39.05,-27.9833,73.63,91,89,9.55,overcast clouds
209,Turbat,PK,26.0023,63.044,81.37,75,0,6.2,clear sky
210,Saint-Pierre,RE,-21.3393,55.4781,69.48,73,0,14.97,clear sky
211,Mariental,NA,-24.6333,17.9667,71.31,30,77,7.31,broken clouds
212,Tual,ID,-5.6667,132.75,81.27,73,100,1.88,overcast clouds
213,Lafiagi,NG,8.8667,5.4167,75.02,91,100,0.83,overcast clouds
214,Lensk,RU,60.7253,114.9278,29.35,92,40,6.96,scattered clouds
215,Passy,FR,45.9203,6.6877,48.18,88,17,4.52,few clouds
216,Usinsk,RU,65.9939,57.5281,49.41,72,100,10.4,overcast clouds
217,Ghatampur,IN,26.1667,80.1667,77.34,87,100,3.98,overcast clouds
218,Bagdarin,RU,54.4333,113.6,31.77,81,33,5.06,scattered clouds
219,La Palma,US,33.8464,-118.0467,86.92,61,20,6.91,few clouds
220,The Valley,AI,18.217,-63.0578,78.1,83,100,29.59,overcast clouds
221,Port Blair,IN,11.6667,92.75,80.4,82,100,16.44,overcast clouds
222,Namatanai,PG,-3.6667,152.4333,82.65,66,42,3.29,scattered clouds
223,Moranbah,AU,-22.0016,148.0466,72.64,74,0,8.7,clear sky
224,Sitka,US,57.0531,-135.33,57.09,82,20,6.91,few clouds
225,Marsa Matruh,EG,31.3525,27.2453,73.89,62,0,3.04,clear sky
226,Luderitz,NA,-26.6481,15.1594,57.74,75,16,13.49,few clouds
227,Pevek,RU,69.7008,170.3133,33.55,97,100,19.26,overcast clouds
228,Bara,NG,10.3744,10.7288,70.92,91,100,5.55,overcast clouds
229,Arapongas,BR,-23.4194,-51.4244,63.27,55,0,11.25,clear sky
230,Port Hedland,AU,-20.3167,118.5667,62.65,67,0,5.75,clear sky
231,Kruisfontein,ZA,-34.0033,24.7314,56.88,89,100,5.59,overcast clouds
232,Yarensk,RU,62.1675,49.0916,49.12,93,100,6.4,overcast clouds
233,Sheridan,US,44.8333,-106.9173,72.46,40,0,4.61,clear sky
234,Aswan,EG,24.0934,32.907,82.49,25,0,9.08,clear sky
235,Luanda,AO,-8.8368,13.2343,71.55,88,31,7.78,scattered clouds
