City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
104,Chicama,PE,68.76,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
105,Atuona,PF,77.07,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
106,Bengkulu,ID,74.08,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
107,Palmer,US,68.9,few clouds,42.1584,-72.3287,Wedgewood Motel
111,Kiunga,PG,73.58,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
113,Dingle,PH,75.61,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
117,Kintampo,GH,71.44,broken clouds,8.0563,-1.7306,Adomaa Memorial Hotel
122,Mareeba,AU,74.48,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
123,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
124,Tukrah,LY,76.48,clear sky,32.5341,20.5791,Lagrota restaurant
126,Porto Novo,BJ,76.53,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
127,Neiafu,TO,77.99,clear sky,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
130,Biloela,AU,69.84,clear sky,-24.4167,150.5,Silo Motor Inn Biloela
131,San Jose,US,77.9,few clouds,37.3394,-121.895,The Westin San Jose
132,Ambulu,ID,71.82,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
135,Malpe,IN,78.1,few clouds,13.35,74.7167,Hotel Sri Krishna Residency
140,Vila Do Maio,CV,79.92,broken clouds,15.1333,-23.2167,Hotel Marilu
142,Nhulunbuy,AU,75.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
147,Ponta Do Sol,PT,75.83,scattered clouds,32.6667,-17.1,Hotel do Campo
148,Shenjiamen,CN,75.67,few clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
150,Mahebourg,MU,71.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
152,Acapulco,MX,76.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
155,Meulaboh,ID,75.27,light rain,4.1363,96.1285,Kost Pria
158,Kavaratti,IN,80.4,overcast clouds,10.5669,72.642,Green leaf
163,Katsuura,JP,80.62,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
164,Samarai,PG,82.87,overcast clouds,-10.6167,150.6667,Nuli Sapi
165,Lorengau,PG,82.96,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
168,Kalianget,ID,79.74,broken clouds,-7.05,113.9333,Pesanggrahan Garam
169,Horqueta,PY,76.82,clear sky,-23.3428,-57.0597,Hospedaje Heina
170,Grand Gaube,MU,71.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
171,Mahon,ES,68.56,clear sky,39.8885,4.2658,ARTIEM Capri
172,Inhambane,MZ,70.86,clear sky,-23.865,35.3833,Oceano
175,Sola,VU,80.91,clear sky,-13.8833,167.55,Leumerus Bungalows
176,San Cristobal,VE,73.51,overcast clouds,7.7669,-72.225,Pirineos
178,Nouakchott,MR,80.53,broken clouds,18.0858,-15.9785,HOTEL IMAN
180,Karratha,AU,69.66,clear sky,-20.7377,116.8463,ibis Styles Karratha
183,Pokaran,IN,81.07,few clouds,26.9167,71.9167,Motel Pokaran - RTDC
187,Price,US,76.12,broken clouds,39.5994,-110.8107,National 9 - Price River Inn
189,Hirara,JP,79.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
190,Petrovskaya,RU,69.8,scattered clouds,45.4314,37.955,Teremok
193,Arraial Do Cabo,BR,66.43,few clouds,-22.9661,-42.0278,Pousada Porto Praia
195,Ugoofaaru,MV,81.0,few clouds,5.6667,73.0,Ungoofaaru Inn
196,Tabou,CI,75.96,overcast clouds,4.423,-7.3528,hotêl doufoulougou
198,Trairi,BR,77.95,scattered clouds,-3.2778,-39.2689,janelas do mar
200,Gondanglegi,ID,73.69,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
